Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought,WeightClass,Gender
Diego Lopes,5,2,1,2,3,180.34,182.88,4.1,0.79,0.48,1.7,Orthodox,145,30,0.4,0.2,0.4,2.5,1685.3295153216798,1551.0562735909793,4.91,0,5.0,0.0,0.0,2.0,0.625,20,Featherweight,MALE
Jean Silva,6,4,1,1,0,170.18,175.26,4.79,0.5,0.51,0.8,Orthodox,145,28,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.0,1473.7518531591822,1593.5831464018463,4.73,6,5.0,8.0,0.0,0.0,1.0,12,Featherweight,MALE
Rob Font,12,6,1,5,7,172.72,180.34,5.36,0.74,0.45,0.3,Orthodox,135,38,0.5,0.08333333333333333,0.4166666666666667,2.736842105263158,1485.234938367876,1561.4357337283207,3.65,2,2.0,0.0,1.0,14.0,0.631578947368421,52,Bantamweight,MALE
David Martinez,2,1,0,1,0,165.1,170.18,4.85,0.0,0.47,0.0,Orthodox,135,27,0.5,0.0,0.5,2.0,1627.4516537203754,1532.2250850245928,3.7222222222222223,2,0.0,0.0,0.0,0.0,1.0,4,Bantamweight,MALE
Rafa Garcia,5,0,1,4,4,170.18,177.8,4.31,3.13,0.45,0.5,Orthodox,155,31,0.0,0.2,0.8,2.7777777777777777,1641.4848774670047,1510.200130501908,4.21,1,5.0,1.0,0.0,3.0,0.5555555555555556,25,Lightweight,MALE
Jared Gordon,9,3,0,6,6,175.26,172.72,5.64,1.78,0.53,0.0,Orthodox,155,37,0.3333333333333333,0.0,0.6666666666666666,2.466666666666667,1433.283627552071,1547.309859062157,3.4,1,2.0,11.0,1.0,2.0,0.6,37,Lightweight,MALE
Kelvin Gastelum,13,3,2,8,10,175.26,180.34,3.67,1.01,0.42,0.1,Southpaw,185,33,0.23076923076923078,0.15384615384615385,0.6153846153846154,3.0,1624.6848814110322,1525.3183952641773,3.23,0,0.0,0.0,3.0,7.0,0.5652173913043478,69,Middleweight,MALE
Dustin Stoltzfus,4,2,1,1,6,182.88,190.5,3.3,2.08,0.45,1.1,Orthodox,185,33,0.5,0.25,0.25,2.1,1396.6908335499359,1546.2793768238687,3.29,0,3.3333333333333335,2.0,2.0,10.0,0.4,21,Middleweight,MALE
Alexander Hernandez,9,4,0,5,7,175.26,182.88,4.31,1.14,0.4,0.1,Orthodox,155,32,0.4444444444444444,0.0,0.5555555555555556,2.25,1666.2771141577557,1529.3892463253499,4.9,3,5.0,3.0,1.0,3.0,0.5625,36,Lightweight,MALE
Diego Ferreira,10,5,2,3,6,175.26,187.96,4.7,0.82,0.39,0.6,Orthodox,155,40,0.5,0.2,0.3,2.25,1452.3236132530576,1568.5871160569611,3.42,0,3.0,11.0,0.0,3.0,0.625,36,Lightweight,MALE
Claudio Puelles,5,0,3,2,3,177.8,182.88,1.54,3.29,0.46,1.0,Southpaw,155,29,0.0,0.6,0.4,2.5,1439.527620826819,1527.8161540825588,2.93,0,3.75,2.0,0.0,9.0,0.625,20,Lightweight,MALE
Joaquim Silva,6,3,0,3,5,172.72,175.26,3.43,0.34,0.43,0.8,Southpaw,155,36,0.5,0.0,0.5,2.4545454545454546,1570.2831296758197,1499.3031311612265,4.51,0,0.0,3.0,0.0,2.0,0.5454545454545454,27,Lightweight,MALE
Tatiana Suarez,7,1,4,2,1,165.1,167.64,2.95,4.41,0.6,0.6,Southpaw,115,34,0.14285714285714285,0.5714285714285714,0.2857142857142857,2.5,1668.3448773581863,1530.4719162120907,1.38,0,0.0,0.0,0.0,1.0,0.875,20,Unknown,FEMALE
Amanda Lemos,9,3,2,4,4,162.56,165.1,2.75,1.02,0.55,0.7,Southpaw,115,38,0.3333333333333333,0.2222222222222222,0.4444444444444444,2.3076923076923075,1485.8516875952355,1564.9360086500567,4.66,1,2.0,1.0,2.0,9.0,0.6923076923076923,30,Unknown,FEMALE
Jesus Aguilar,4,1,2,1,2,162.56,157.48,2.65,1.64,0.4,1.4,Orthodox,125,29,0.25,0.5,0.25,2.0,1595.242240861933,1460.8670368186008,1.03,0,0.0,0.0,1.0,1.0,0.6666666666666666,12,Flyweight,MALE
Luis Gurule,1,0,0,1,1,165.1,162.56,4.93,0.41,0.42,0.0,Orthodox,125,31,0.0,0.0,1.0,2.5,1395.8745375949882,1543.5827122708054,3.7222222222222223,0,0.0,1.0,0.0,8.0,0.5,5,Flyweight,MALE
Zachary Reese,4,1,1,2,2,193.04,195.58,4.24,2.82,0.53,1.2,Switch,185,31,0.25,0.25,0.5,1.6666666666666667,1507.3730881805272,1489.274002431723,3.4760000000000004,1,1.6666666666666667,2.0,0.0,0.0,0.6666666666666666,10,Middleweight,MALE
Sedriques Dumas,4,0,1,3,3,187.96,200.66,2.12,1.23,0.44,0.2,Orthodox,185,30,0.0,0.25,0.75,2.0,1490.8526718124915,1501.3353599482411,2.01,0,0.0,2.0,1.0,0.0,0.5714285714285714,14,Middleweight,MALE
